,n,p,r,anchor_prob,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial
0,800000,1000,6,0.1,25,1.2491506946044182,144.4993104916373,363.16950686985723,108.04928632227478,0.0009966460752259608,5.766054632765346,0.4437931690482596,0.06931173147548461,10.023851871490479,2.691185235977173,0
1,800000,1000,6,0.1,25,1.3428497944663735,144.0305307931921,362.69271907999297,110.78209088883492,0.0012632746367071688,5.764646852198563,0.4413636835553678,0.07040904912847523,9.911293029785156,2.7604501247406006,1
2,800000,1000,6,0.1,25,1.325537684226384,145.92192678591402,366.837847493983,110.42203101613376,0.0012730386312087604,5.814320896550763,0.4583586950627652,0.07115616116924484,9.859183073043823,2.7208425998687744,2
3,800000,1000,6,0.1,25,1.3253905824852328,143.7319050168632,362.6595297517355,110.51435536774517,0.0012369578500089674,5.748650379390109,0.4359060993006858,0.0712648986649308,9.987633466720581,2.709921360015869,3
4,800000,1000,6,0.1,25,1.3439716721485446,143.47736577353606,364.677692083347,110.93616667559284,0.001266928081859371,5.619462657384602,0.4481360437694177,0.0715421326622015,9.970357656478882,2.718507766723633,4
5,800000,1000,6,0.25,25,2.4087468593881356,164.39786543718884,326.35916168473983,123.50450205207191,0.012705858458032815,7.4927650054192085,0.5137714397478678,0.11601474389045854,9.961320638656616,2.7337806224823,0
6,800000,1000,6,0.25,25,3.9173018550956966,191.7607335069175,324.6629707375889,134.15355803233035,0.04275819360506269,9.823328812934719,0.49889557575898386,0.12162310037953075,9.902755498886108,2.7282912731170654,1
7,800000,1000,6,0.25,25,3.276440138478821,179.93765074413923,327.81409872695303,130.88592032139596,0.028216663848058102,8.704228451045164,0.5152135780870709,0.12063739467442924,9.940119981765747,2.72996187210083,2
8,800000,1000,6,0.25,25,1.8672270701423876,154.6033806502068,324.3969964695974,126.08387472397612,0.008330898621869417,6.577970591152335,0.5054572372220374,0.12110108968598281,9.932342052459717,2.785835027694702,3
9,800000,1000,6,0.25,25,4.964476495376792,215.5695272830397,327.22633492832574,139.44087564547596,0.057898604268740696,12.249605163086475,0.5171997491327425,0.126062788501428,9.918668270111084,2.6847989559173584,4
10,800000,1000,6,0.5,25,2.9211271200207993,172.53040190304347,298.37162911782355,129.1912509900544,0.019063909414091376,7.905508090217454,0.527908762707371,0.15137088865182172,9.8482084274292,2.70668363571167,0
11,800000,1000,6,0.5,25,5.159912444740454,230.50146205134953,302.1794207011201,131.09850792364588,0.07015628314459028,14.099743387607862,0.5501150780853654,0.14700250383565552,9.736974239349365,2.706853151321411,1
12,800000,1000,6,0.5,25,5.316061042614365,237.19189244760986,302.5868848010256,137.4211137264049,0.06903701604258798,14.988828527968078,0.545690312480902,0.1595231063277948,9.872169733047485,2.7837464809417725,2
13,800000,1000,6,0.5,25,4.694125772313072,203.57878385568716,301.8952552750557,130.06858429285984,0.052579198614710915,11.018418623957647,0.549666885243616,0.15039454231409988,9.994589567184448,2.701321840286255,3
14,800000,1000,6,0.5,25,5.374842005448767,223.1140684201158,301.4950167266985,134.4154192316463,0.07329240039142779,13.33935217064937,0.5354219078209843,0.149194680189291,10.032366752624512,2.7464792728424072,4
15,800000,1000,6,0.9,25,5.641634993144033,247.39280840255734,277.6765352953023,136.55271815562196,0.08286685448539495,16.09910552849387,0.559267765684206,0.17822460079706312,9.976777791976929,2.6481242179870605,0
16,800000,1000,6,0.9,25,6.99715116617317,367.063320343628,277.96218352499545,149.2644919707293,0.1098026446275405,34.79349071194151,0.5634156011383897,0.19192126206174248,9.847830772399902,2.746589183807373,1
17,800000,1000,6,0.9,25,5.651854245813224,256.5290539373485,276.41470846176003,134.32720794915542,0.07919033789448929,17.48459947143541,0.5494268905351525,0.17369562965569496,9.869055986404419,2.6740171909332275,2
18,800000,1000,6,0.9,25,6.257939537146116,312.02324447439173,276.0211445025293,140.28660577346295,0.09800930266980079,25.493439689205218,0.5564172257400591,0.1798453015491921,9.84964394569397,2.7288835048675537,3
19,800000,1000,6,0.9,25,5.622820764481622,269.9755925200192,274.56916908836814,136.17789466367694,0.08510722652029212,19.010120002193815,0.5403848626217209,0.17382071390159048,9.741262912750244,2.7403523921966553,4
20,1000000,1000,6,0.1,25,1.2699842708203062,141.50678780880537,334.76964093497276,101.4964298103962,0.0012584669495251653,5.713272576956162,0.39032436306511964,0.06098752764364902,12.300742626190186,2.728100299835205,0
21,1000000,1000,6,0.1,25,1.401250243041034,147.39847768367216,339.6170105517279,103.46715314252724,0.0017179021353693118,5.997052895500243,0.41688398344390476,0.06311809926802131,12.244785785675049,2.7558445930480957,1
22,1000000,1000,6,0.1,25,1.1439668237958789,141.8241142045277,338.87182436186,103.02322542231386,0.0007823834562858962,5.6214520830964885,0.4079531787395916,0.0631496037804741,12.239735841751099,2.679919719696045,2
23,1000000,1000,6,0.1,25,1.2324898675586464,141.1951032153459,335.90123198071876,101.32184882592651,0.0010000411831307605,5.523920230000403,0.39164351632540984,0.061671736017013645,12.164430618286133,2.676931381225586,3
24,1000000,1000,6,0.1,25,1.2068070012070047,138.81169047990693,335.75458613960086,101.88474779985147,0.0009094728355667093,5.329319834547116,0.39349938210944924,0.06169198286905103,12.367323637008667,2.679460287094116,4
25,1000000,1000,6,0.25,25,1.3696670517730656,148.0197365530492,298.6802305789151,113.32981122270978,0.0034847369056014727,5.913081329902415,0.45131724813606144,0.10624047241770485,12.359709024429321,2.7819406986236572,0
