,n,p,r,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial,ln_n,ln_TV_err_V,ln_TV_err_U
0,800000,1000,6,25,5.995106966902426,319.8962401614885,274.93383160995893,141.8284138722766,0.0931047541610951,27.424041442957552,0.5613740736642184,0.1885845781193262,9.776124715805054,2.710172653198242,0,13.592367006650065,1.7909436310062747,5.76799669371819
1,800000,1000,6,25,6.738703756819966,323.1953438787682,272.73934493847173,142.3100732713158,0.1065886287274438,27.613825809884155,0.5561021098972232,0.1887546659571439,9.805421829223633,2.640029191970825,1,13.592367006650065,1.9078675854815783,5.778256920227476
2,800000,1000,6,25,6.4453044920593126,290.19081533810964,278.0742181714637,140.33555824789804,0.1047293559552306,22.07170357165484,0.5862049991195233,0.1899415068560614,9.70801854133606,2.6483120918273926,2,13.592367006650065,1.8633518799701612,5.670538690528523
3,800000,1000,6,25,6.43915339683473,281.44321883910925,272.6672159947652,140.3789867498067,0.1012145028306362,20.66214237155832,0.5480764766131926,0.1854935132046918,9.770536184310911,2.679565191268921,3,13.592367006650065,1.8623970713557927,5.63993071795877
4,800000,1000,6,25,6.4374292533503095,295.2530420907243,274.13407307051693,139.42134306905058,0.0988029058593696,22.582223582146952,0.5574359336830151,0.1834516013802153,9.900830030441284,2.690884828567505,4,13.592367006650065,1.8621292761586408,5.68783275846461
5,1000000,1000,6,25,5.7396614959248975,276.80745230294804,264.9810719226855,132.82602710259945,0.0925776336467801,20.52317330189357,0.5357405540335685,0.1713034757190323,12.276736736297607,2.659768581390381,0,13.815510557964274,1.7474002357571252,5.623322146440879
6,1000000,1000,6,25,5.710115582028871,259.48672517135435,265.5417574597243,133.10420439360166,0.0769125864836139,17.68548603222843,0.5337264938184196,0.1729900883965869,12.30619764328003,2.630469799041748,1,13.815510557964274,1.7422392654996315,5.558705545888421
7,1000000,1000,6,25,6.889519692401657,284.66788772773646,264.6795157759817,134.50080846020208,0.111342799282975,21.13092007662397,0.5328961275385016,0.1747583172184003,12.36330223083496,2.649937629699707,2,13.815510557964274,1.930001371768609,5.651323194552957
8,1000000,1000,6,25,6.273262414768595,268.1910027958221,263.6972508078206,134.98650645358185,0.0975971623876423,18.89475009659904,0.5370432270885175,0.1766817350414643,12.320258140563965,2.6908113956451416,3,13.815510557964274,1.836296540659326,5.59169942366229
9,1000000,1000,6,25,5.838914288060857,283.5450584653285,263.7361664518792,138.87474823297117,0.0870466149213413,20.791836394763543,0.5251870840158921,0.1813996211795172,12.339936256408691,2.7074456214904785,4,13.815510557964274,1.7645448699781874,5.647371046924396
10,2000000,1000,6,25,6.851885182719927,272.10223195681215,236.12016440866608,123.25312017315171,0.110367031559174,19.6000647745582,0.4577458406750295,0.1470779030916452,24.307725429534912,2.6369478702545166,0,14.508657738524219,1.9245238235672346,5.606177848463431
11,2000000,1000,6,25,4.6561227474544005,202.9766511155289,237.9957041976301,119.76014862353134,0.0651238105008272,10.900979928595705,0.4768827911470955,0.1456173086593456,24.6099750995636,2.647846221923828,1,14.508657738524219,1.5381830733665112,5.313090953291254
12,2000000,1000,6,25,4.358769075051605,213.74288317727235,233.84951910880807,120.68850113707998,0.0619777115246109,12.344096692609543,0.4527616746899185,0.1487489876780559,24.28925132751465,2.673289060592652,2,14.508657738524219,1.4721896952646476,5.364773812185488
13,2000000,1000,6,25,1.8013042981281453,161.40680157173134,238.1477173797909,116.30113939673092,0.0099221524129681,7.094582540517397,0.4681004273737157,0.1450381239893788,24.146355390548703,2.699345588684082,3,14.508657738524219,0.5885110125701856,5.083927896036732
14,2000000,1000,6,25,4.707130404650654,226.8735472610961,234.4267595731708,124.46965818278473,0.0660701195011742,13.678580667159451,0.4508064666502421,0.1497213128378501,24.513776540756226,2.772058248519897,4,14.508657738524219,1.549078466443712,5.424392801741738
15,5000000,1000,6,25,0.3887388805491717,139.01132917703495,209.2387002446808,92.51364482970908,0.00027701170476,5.457318903764343,0.4240570275451292,0.0967247573931628,61.23910474777222,2.661994695663452,0,15.424948470398375,-0.9448474189867166,4.934555434680106
16,5000000,1000,6,25,0.4107036513702889,141.17401980976769,208.1657813567901,92.42546490130177,0.0003040128361067,5.518482111034015,0.4207410592917253,0.0963411194693219,61.44480037689209,2.6820456981658936,1,15.424948470398375,-0.8898833674570297,4.949993312448328
17,5000000,1000,6,25,0.9341689305610144,147.23767704971218,207.92464721137847,94.71440695236312,0.0037767296051458,5.887812616024293,0.4161580489949243,0.1006462671164592,61.33341288566589,2.7210514545440674,2,15.424948470398375,-0.06809798926956478,4.992048131761213
18,5000000,1000,6,25,0.4647428216051024,139.9765197611044,208.1035031491924,91.60779909820228,0.0004029108789804,5.44477598869862,0.4212972976136182,0.0946925475319274,60.68990230560303,2.7379372119903564,3,15.424948470398375,-0.7662710982123984,4.941474692551293
19,5000000,1000,6,25,0.4409520064802734,142.07892487590652,209.02778091192448,92.28945120018533,0.0004073573384422,5.580061941921247,0.4224137055676107,0.0970153271362402,61.516348123550415,2.7503762245178223,4,15.424948470398375,-0.8188192383004967,4.956382712181914
20,10000000,1000,6,25,0.2770533332156785,140.40439939822767,193.7770152789283,72.55098367947892,0.0001306635528587,5.560948460408389,0.3931416803987752,0.061686285810702,123.04743337631226,2.4570422172546387,0,16.11809565095832,-1.2835452526432323,4.944526825845999
21,10000000,1000,6,25,0.315940518518041,138.8241204163039,192.57635488180927,72.45148668075045,0.000187848336363,5.461244423680975,0.3836478169887972,0.0610739953634918,122.10497784614564,2.454359531402588,1,16.11809565095832,-1.1522013156510376,4.933207811190465
22,10000000,1000,6,25,0.3222197060988705,136.9860402882136,196.58377885446964,72.43471930221338,0.0001951497639933,5.265282706745478,0.4135374321029813,0.0609539820946843,122.03607273101808,2.552022695541382,2,16.11809565095832,-1.1325216490329564,4.9198790249299345
23,10000000,1000,6,25,0.3166894016230373,142.3980228940308,194.7532237093121,72.75340410125939,0.000183048718876,5.696605083080872,0.3991211095406114,0.0612346050436348,121.79339170455933,2.455913543701172,3,16.11809565095832,-1.1498337910337038,4.958626114710357
24,10000000,1000,6,25,0.322984894776319,136.01501075810117,190.064081924322,73.53484971725673,0.0002256909713852,5.25968112598988,0.3765628714189877,0.0630450939912911,121.9033133983612,2.4630494117736816,4,16.11809565095832,-1.1301497222514092,4.912765252866708
25,30000000,1000,6,25,0.1829055154282678,136.9975465532802,174.75865933040666,45.14832537071442,5.973957253366397e-05,5.24861654802348,0.3335157522008519,0.0243005301588825,367.09517002105713,2.289847612380981,0,17.216707939626428,-1.6987855686093225,4.91996301729755
26,30000000,1000,6,25,0.1846958892753076,139.74036258900753,177.30935822770067,43.58123415773303,6.149111381558765e-05,5.584648636929226,0.3437359186181642,0.022390386963195,367.0891714096069,2.275559902191162,1,17.216707939626428,-1.6890446482492636,4.939786147861224
27,30000000,1000,6,25,0.1842542168922908,137.54051867771966,177.9824003559645,44.44789860531715,5.749035715027712e-05,5.32355729675975,0.3419438091207222,0.0232357367061989,365.3393907546997,2.3136696815490723,2,17.216707939626428,-1.6914388613778961,4.923918554989128
28,30000000,1000,6,25,0.1835303353941785,139.2431119032144,176.9876776091703,44.57915829786848,6.038564018435538e-05,5.490395313358266,0.3419429258748635,0.0239524355494531,367.7528307437897,2.309921741485596,3,17.216707939626428,-1.6953753096510031,4.936221411897853
29,30000000,1000,6,25,0.1813523007870288,140.67433733459129,180.8687390101753,44.21332453463481,6.454647213830809e-05,5.495277647820689,0.3533336687589226,0.0236549307954837,367.1048183441162,2.30415153503418,4,17.216707939626428,-1.7073137263360276,4.946447554695781
0,800000,1000,6,50,6.588197432238914,351.39060706316167,318.4063907779404,127.99096929842156,0.0554721585804785,32.30634047635702,0.4914895944359602,0.0904705466231564,10.005982160568236,2.744805335998535,0,13.592367006650065,1.8852797803300574,5.861898445353517
