,n,p,r,anchor_prob,num_anchors,TV_err_V,TV_err_U,TV_err_P_hat,TV_err_P,L2_err_V,L2_err_U,L2_err_P_hat,L2_err_P,sim_time,decomp_time,trial
1,2000000,1000,1,1,10,0.005931438919449122,0.00028360305970309696,20.858519089232864,5.751836950790764,1.6940052117028783e-07,8.043069547295835e-11,0.0030824507639554744,0.00016000691898079302,31.543530225753784,1.051668405532837,1
2,2000000,1000,1,1,10,0.006476401061331531,0.018205657855263624,20.021895925529158,6.331931841123377,2.2369155012092208e-07,3.3144597794292204e-07,0.0028195616761424527,0.00022264357615044185,24.662790536880493,1.01517915725708,2
3,2000000,1000,1,1,10,0.0070545213374137794,0.011793437915907923,20.422798983089272,7.05095290952176,3.845161249602973e-07,1.390851778763746e-07,0.0029224695961061623,0.00038269082578212864,24.59627056121826,0.9902284145355225,3
4,2000000,1000,1,1,10,0.007647687005851709,0.012026083632044049,19.094518364554624,7.5065406123857485,7.354526093837174e-07,1.4462668752491774e-07,0.0014968561637881137,0.0007281866923731075,24.799214839935303,0.9925601482391357,4
5,2000000,1000,2,1,10,0.5395047957605821,4.691083272569333,69.54489695259343,11.902724207230053,0.006920564424535085,0.01844280612516356,0.17730059853153424,0.00200722919077903,24.480359315872192,1.4133033752441406,0
6,2000000,1000,2,1,10,0.5954900943887802,4.958576626992851,72.89987398725962,12.661662560708029,0.008292165771327641,0.021329402091612014,0.22223632874185953,0.002400407419673428,24.63169550895691,1.4136433601379395,1
7,2000000,1000,2,1,10,1.1886781168059337,6.1808265912357445,71.36904282935099,12.765613395235487,0.03311544407696991,0.032186245066624444,0.2263924792437382,0.0025884403762084355,24.813602209091187,1.2790827751159668,2
8,2000000,1000,2,1,10,0.5452025080407699,5.1017759903019995,61.177666009876496,12.926961170781762,0.006760552061858306,0.021334727011727037,0.12313880410045816,0.0027791346511202896,24.83350658416748,1.3866856098175049,3
9,2000000,1000,2,1,10,0.8016736688145805,5.623658729081701,59.62120865486868,13.218382652293243,0.015170809424051395,0.025995635586069002,0.11502860629690237,0.002515898468581996,24.66630244255066,1.3358752727508545,4
10,2000000,1000,3,1,10,0.706411007636987,29.06459652913013,138.44309850548905,32.85702915694168,0.009699874345869925,0.4706128657103785,0.6227301772154064,0.028583466582657806,26.071195363998413,1.8115756511688232,0
11,2000000,1000,3,1,10,1.0410314109513936,29.58963655967478,144.39687833304987,33.03883270764024,0.01643497992345847,0.4778681419486236,0.6988212386251131,0.029790743759243093,24.948058128356934,1.7667694091796875,1
12,2000000,1000,3,1,10,1.070420851271068,31.686136345043565,140.27408175987165,33.69057654911792,0.02502966950322605,0.5705100370742229,0.6564246950483457,0.029801703356079658,24.705061435699463,1.6639366149902344,2
13,2000000,1000,3,1,10,0.6427388015121458,28.065004231999076,133.69583154851034,32.34541406450317,0.0075332072461595356,0.4430859146283842,0.5940843510896001,0.02895954652908213,24.66803479194641,1.7478227615356445,3
14,2000000,1000,3,1,10,0.8070726582116383,30.220787001231713,142.21843563061574,33.88421206524127,0.011809119718285844,0.5151833969136843,0.7016478050194951,0.0299810267191271,24.77895188331604,1.9125652313232422,4
